gt,subsistema,componente,cnpjs_unicos,destaques_faturamento,destaques_patentes,component_id
GT 1 – Baterias,4. BMS e Eletrônica,4.2 Microcontroladores / Circuitos Integrados,0,-,-,gt-1-baterias-4-bms-e-eletronica-4-2-microcontroladores-circuitos-integr
GT 1 – Baterias,4. BMS e Eletrônica,"4.3 Sensores (Corrente, Tensão, Temperatura)",0,-,-,gt-1-baterias-4-bms-e-eletronica-4-3-sensores-corrente-tensao-temperatur
GT 1 – Baterias,6. Segurança e Proteção,6.5 Materiais Retardantes de Chama,0,-,-,gt-1-baterias-6-seguranca-e-protecao-6-5-materiais-retardantes-de-chama
GT 1 – Baterias,7. Interconexões e Alta Tensão,7.1 Cabos de Alta Tensão,0,-,-,gt-1-baterias-7-interconexoes-e-alta-tensao-7-1-cabos-de-alta-tensao
GT 1 – Baterias,"8. Testes, Validação e Certificação",8.1 Equipamentos de Teste,0,-,-,gt-1-baterias-8-testes-validacao-e-certificacao-8-1-equipamentos-de-test
GT 1 – Baterias,"8. Testes, Validação e Certificação",8.3 Certificações e Serviços Técnicos,0,-,-,gt-1-baterias-8-testes-validacao-e-certificacao-8-3-certificacoes-e-serv
GT 2 – Máquinas Elétricas,3. Sistema Térmico,3.2 Canais de Refrigeração,1375,MARCOPOLO (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),SEMEATO S A - EM RECUPERACAO JUDI... | MARCOPOLO,gt-2-maquinas-eletricas-3-sistema-termico-3-2-canais-de-refrigeracao
GT 2 – Máquinas Elétricas,9. Acessórios e Sistemas de Suporte,9.3 Tampas e Tampões,1255,MARCOPOLO (1B OU SUPERIOR) | AMCOR FLEXIBLES BRASIL EMBALAGENS (1B OU SUPERIOR),MARCOPOLO | AMCOR FLEXIBLES BRASIL EMBALAGENS,gt-2-maquinas-eletricas-9-acessorios-e-sistemas-de-suporte-9-3-tampas-e
GT 2 – Máquinas Elétricas,5. Sistema Estrutural e Mecânico,5.5 Parafusos e Fixadores,690,DOCOL (1B OU SUPERIOR) | COMPANHIA SIDERURGICA NACIONAL (1B OU SUPERIOR),BRASILATA S A EMBALAGENS METALICAS | NILKO TECNOLOGIA,gt-2-maquinas-eletricas-5-sistema-estrutural-e-mecanico-5-5-parafusos-e
GT 2 – Máquinas Elétricas,3. Sistema Térmico,3.3 Ventiladores / Hélices,622,TK ELEVADORES BRASIL (1B OU SUPERIOR) | ELEVADORES ATLAS SCHINDLER (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | SPRINGER CARRIER,gt-2-maquinas-eletricas-3-sistema-termico-3-3-ventiladores-helices
GT 2 – Máquinas Elétricas,6. Processos Produtivos,6.2 Enrolamento de Bobinas,622,TK ELEVADORES BRASIL (1B OU SUPERIOR) | ELEVADORES ATLAS SCHINDLER (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | SPRINGER CARRIER,gt-2-maquinas-eletricas-6-processos-produtivos-6-2-enrolamento-de-bobina
GT 2 – Máquinas Elétricas,6. Processos Produtivos,6.3 Inserção de Ímãs,622,TK ELEVADORES BRASIL (1B OU SUPERIOR) | ELEVADORES ATLAS SCHINDLER (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | SPRINGER CARRIER,gt-2-maquinas-eletricas-6-processos-produtivos-6-3-insercao-de-imas
GT 2 – Máquinas Elétricas,8. Materiais e Insumos,8.6 Gases Técnicos,453,PETROLEO BRASILEIRO S A PETROBRAS (1B OU SUPERIOR) | ICL AMERICA SUL (1B OU SUPERIOR),PETROLEO BRASILEIRO S A PETROBRAS | ICL AMERICA SUL,gt-2-maquinas-eletricas-8-materiais-e-insumos-8-6-gases-tecnicos
GT 2 – Máquinas Elétricas,8. Materiais e Insumos,8.5 Adesivos / Selantes,377,IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR) | IBQ - INDUSTRIAS QUIMICAS S/A (1B OU SUPERIOR),BUNGE ALIMENTOS S/A | ARTECOLA QUIMICA S. A,gt-2-maquinas-eletricas-8-materiais-e-insumos-8-5-adesivos-selantes
GT 2 – Máquinas Elétricas,5. Sistema Estrutural e Mecânico,5.1 Carcaça / Estrutura,332,MANSERV MONTAGEM MANUTENCAO S/A (1B OU SUPERIOR) | SOPRANO ELETROMETALURGICA (700M A 1B),NILKO TECNOLOGIA | SOPRANO ELETROMETALURGICA,gt-2-maquinas-eletricas-5-sistema-estrutural-e-mecanico-5-1-carcaca-estr
GT 2 – Máquinas Elétricas,9. Acessórios e Sistemas de Suporte,9.4 Suportes e Fixações,332,MANSERV MONTAGEM MANUTENCAO S/A (1B OU SUPERIOR) | SOPRANO ELETROMETALURGICA (700M A 1B),NILKO TECNOLOGIA | SOPRANO ELETROMETALURGICA,gt-2-maquinas-eletricas-9-acessorios-e-sistemas-de-suporte-9-4-suportes
GT 2 – Máquinas Elétricas,9. Acessórios e Sistemas de Suporte,9.5 Proteções e Blindagens,310,GE ENERGIAS RENOVAVEIS (1B OU SUPERIOR) | CERACA - COOPERATIVA INFRA-ESTRUT... (1B OU SUPERIOR),AGUIA SISTEMAS ARMAZENAGEM | AGUIA SISTEMAS ARMAZENAGEM,gt-2-maquinas-eletricas-9-acessorios-e-sistemas-de-suporte-9-5-protecoes
GT 2 – Máquinas Elétricas,5. Sistema Estrutural e Mecânico,5.3 Vedações,235,AMAZONAS (1B OU SUPERIOR) | PIRELLI PNEUS (1B OU SUPERIOR),AMAZONAS | EBOCAM SUPER FLUTUADORES,gt-2-maquinas-eletricas-5-sistema-estrutural-e-mecanico-5-3-vedacoes
GT 2 – Máquinas Elétricas,1. Sistema Estator,1.4 Terminais e Conexões,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-2-maquinas-eletricas-1-sistema-estator-1-4-terminais-e-conexoes
GT 2 – Máquinas Elétricas,4. Controle e Sensoriamento,4.4 Conectores e Chicotes,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-2-maquinas-eletricas-4-controle-e-sensoriamento-4-4-conectores-e-chic
GT 2 – Máquinas Elétricas,9. Acessórios e Sistemas de Suporte,9.1 Chicotes e Cabos,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-2-maquinas-eletricas-9-acessorios-e-sistemas-de-suporte-9-1-chicotes
GT 2 – Máquinas Elétricas,9. Acessórios e Sistemas de Suporte,9.2 Conectores,221,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | LEGRAND BRASIL (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-2-maquinas-eletricas-9-acessorios-e-sistemas-de-suporte-9-2-conectore
GT 2 – Máquinas Elétricas,6. Processos Produtivos,6.1 Estamparia de Chapas,202,MANSERV MONTAGEM MANUTENCAO S/A (1B OU SUPERIOR) | SOPRANO ELETROMETALURGICA (700M A 1B),SOPRANO ELETROMETALURGICA | SOPRANO ELETROMETALURGICA,gt-2-maquinas-eletricas-6-processos-produtivos-6-1-estamparia-de-chapas
GT 2 – Máquinas Elétricas,1. Sistema Estator,1.3 Isolação Elétrica,196,KIMBERLY -CLARK BRASIL PRODUTOS H... (1B OU SUPERIOR) | KIMBERLY -CLARK BRASIL PRODUTOS H... (1B OU SUPERIOR),KIMBERLY -CLARK BRASIL PRODUTOS H... | KIMBERLY -CLARK BRASIL PRODUTOS H...,gt-2-maquinas-eletricas-1-sistema-estator-1-3-isolacao-eletrica
GT 2 – Máquinas Elétricas,2. Sistema Rotor,2.4 Eixo do Rotor,181,DOCOL (1B OU SUPERIOR) | SCHULZ S/A (1B OU SUPERIOR),NIDEC GLOBAL APPLIANCE BRASIL | DOCOL,gt-2-maquinas-eletricas-2-sistema-rotor-2-4-eixo-do-rotor
GT 2 – Máquinas Elétricas,6. Processos Produtivos,6.6 Impregnação / Verniz,158,AKZO NOBEL (1B OU SUPERIOR) | PPG INDUSTRIAL BRASIL - TINTAS VE... (700M A 1B),RENNER HERRMANN | CIPLA MATERIAIS CONSTRUCAO,gt-2-maquinas-eletricas-6-processos-produtivos-6-6-impregnacao-verniz
GT 2 – Máquinas Elétricas,4. Controle e Sensoriamento,4.1 Sensores de Posição / Velocidade,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-2-maquinas-eletricas-4-controle-e-sensoriamento-4-1-sensores-de-posic
GT 2 – Máquinas Elétricas,7. Ensaios e Validação,7.1 Ensaios Elétricos,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-2-maquinas-eletricas-7-ensaios-e-validacao-7-1-ensaios-eletricos
GT 2 – Máquinas Elétricas,7. Ensaios e Validação,7.2 Ensaios Mecânicos,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-2-maquinas-eletricas-7-ensaios-e-validacao-7-2-ensaios-mecanicos
GT 2 – Máquinas Elétricas,7. Ensaios e Validação,7.5 Bancos de Teste,138,WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR) | WEG EQUIPAMENTOS ELETRICOS S/A (1B OU SUPERIOR),WEG EQUIPAMENTOS ELETRICOS S/A | WEG EQUIPAMENTOS ELETRICOS S/A,gt-2-maquinas-eletricas-7-ensaios-e-validacao-7-5-bancos-de-teste
GT 2 – Máquinas Elétricas,4. Controle e Sensoriamento,4.2 Sensores de Temperatura,95,BRITANIA ELETRODOMESTICOS (1B OU SUPERIOR) | HI-MIX ELETRONICOS S/A (300M A 500M),SINTEX INDUSTRIAL PLASTICOS | BRITANIA ELETRODOMESTICOS,gt-2-maquinas-eletricas-4-controle-e-sensoriamento-4-2-sensores-de-tempe
GT 2 – Máquinas Elétricas,3. Sistema Térmico,3.1 Carcaça de Resfriamento,76,ALCOA ALUMINIO S/A (1B OU SUPERIOR) | HYDRO EXTRUSION BRASIL S/A (1B OU SUPERIOR),ALCOA ALUMINIO S/A | HYDRO EXTRUSION BRASIL S/A,gt-2-maquinas-eletricas-3-sistema-termico-3-1-carcaca-de-resfriamento
GT 2 – Máquinas Elétricas,8. Materiais e Insumos,8.2 Cobre,76,ALCOA ALUMINIO S/A (1B OU SUPERIOR) | HYDRO EXTRUSION BRASIL S/A (1B OU SUPERIOR),ALCOA ALUMINIO S/A | HYDRO EXTRUSION BRASIL S/A,gt-2-maquinas-eletricas-8-materiais-e-insumos-8-2-cobre
GT 2 – Máquinas Elétricas,1. Sistema Estator,1.1 Núcleo do Estator,69,USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR) | USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR),USINAS SIDERURGICAS MINAS GERAIS... | USINAS SIDERURGICAS MINAS GERAIS...,gt-2-maquinas-eletricas-1-sistema-estator-1-1-nucleo-do-estator
GT 2 – Máquinas Elétricas,2. Sistema Rotor,2.1 Núcleo do Rotor,69,USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR) | USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR),USINAS SIDERURGICAS MINAS GERAIS... | USINAS SIDERURGICAS MINAS GERAIS...,gt-2-maquinas-eletricas-2-sistema-rotor-2-1-nucleo-do-rotor
GT 2 – Máquinas Elétricas,8. Materiais e Insumos,8.1 Aço Elétrico (Silício),69,USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR) | USINAS SIDERURGICAS MINAS GERAIS... (1B OU SUPERIOR),USINAS SIDERURGICAS MINAS GERAIS... | USINAS SIDERURGICAS MINAS GERAIS...,gt-2-maquinas-eletricas-8-materiais-e-insumos-8-1-aco-eletrico-silicio
GT 2 – Máquinas Elétricas,1. Sistema Estator,1.2 Enrolamentos,0,-,-,gt-2-maquinas-eletricas-1-sistema-estator-1-2-enrolamentos
GT 2 – Máquinas Elétricas,2. Sistema Rotor,2.2 Ímãs Permanentes,0,-,-,gt-2-maquinas-eletricas-2-sistema-rotor-2-2-imas-permanentes
GT 2 – Máquinas Elétricas,2. Sistema Rotor,2.3 Enrolamentos (Rotor Bobinado),0,-,-,gt-2-maquinas-eletricas-2-sistema-rotor-2-3-enrolamentos-rotor-bobinado
GT 2 – Máquinas Elétricas,3. Sistema Térmico,3.4 Trocadores de Calor,0,-,-,gt-2-maquinas-eletricas-3-sistema-termico-3-4-trocadores-de-calor
GT 2 – Máquinas Elétricas,4. Controle e Sensoriamento,4.3 Eletrônica de Interface (Placas PCBAs),0,-,-,gt-2-maquinas-eletricas-4-controle-e-sensoriamento-4-3-eletronica-de-int
GT 2 – Máquinas Elétricas,5. Sistema Estrutural e Mecânico,5.2 Rolamentos,0,-,-,gt-2-maquinas-eletricas-5-sistema-estrutural-e-mecanico-5-2-rolamentos
GT 2 – Máquinas Elétricas,5. Sistema Estrutural e Mecânico,5.4 Acoplamentos,0,-,-,gt-2-maquinas-eletricas-5-sistema-estrutural-e-mecanico-5-4-acoplamentos
GT 2 – Máquinas Elétricas,6. Processos Produtivos,6.4 Usinagem de Precisão,0,-,-,gt-2-maquinas-eletricas-6-processos-produtivos-6-4-usinagem-de-precisao
GT 2 – Máquinas Elétricas,6. Processos Produtivos,6.5 Montagem e Balanceamento,0,-,-,gt-2-maquinas-eletricas-6-processos-produtivos-6-5-montagem-e-balanceame
